Title,Original Title,Seen,Original DVD,Production Year,Running Time,Genre,Cover Image Front
2012,,TRUE,TRUE,2009,151,Ficção Científica,Z:\Databases\DVD_1\Images\8414533066310.15F.JPG
{Proof} Entre o génio e a loucura,Proof,FALSE,TRUE,2005,96,Drama,Z:\Databases\DVD_1\Images\5600304167758.15F.JPG
007 Contra Goldfinger,Goldfinger,TRUE,TRUE,1964,110,Acção,Z:\Databases\DVD_1\Images\IFB1D734B8918010C.15F.JPG
007 Risco Imediato,The Living Daylights,TRUE,TRUE,1987,125,Acção,Z:\Databases\DVD_1\Images\I85011E9AB638EC9E.15F.JPG
15 Minutos,15 Minutes,TRUE,TRUE,2001,116,Suspense/Thriller,Z:\Databases\DVD_1\Images\5601887429653.15F.JPG
21 Gramas,21 Grams,FALSE,TRUE,2003,119,Drama,Z:\Databases\DVD_1\Images\5608652023399.15F.JPG
24 Horas para Matar,The Watcher,FALSE,TRUE,2002,97,Suspense/Thriller,Z:\Databases\DVD_1\Images\5601887428267.15F.JPG
8MM,,TRUE,TRUE,1999,119,Suspense/Thriller,Z:\Databases\DVD_1\Images\5601887404667.15F.JPG
A Armadilha,Entrapment,TRUE,TRUE,1999,108,Acção,Z:\Databases\DVD_1\Images\5600304163491.15F.JPG
À beira do casamento,The Groomsmen,TRUE,TRUE,2006,98,Comédia,Z:\Databases\DVD_1\Images\5601887493906.15F.JPG
A Bela Adormecida,Sleeping Beauty,TRUE,TRUE,1959,72,,Z:\Databases\DVD_1\Images\5601887430147.15F.JPG
A Bela e o Monstro,Beauty and the Beast,TRUE,TRUE,1991,87,,Z:\Databases\DVD_1\Images\5601887437238.15F.JPG
A Borboleta Azul,The Blue Butterfly,FALSE,TRUE,2004,93,,Z:\Databases\DVD_1\Images\5608652022620.15F.JPG
A Canção de Lisboa,,TRUE,TRUE,1933,91,Comédia,Z:\Databases\DVD_1\Images\5601684043212.15F.JPG
A Casa da Felicidade,The House of Mirth,TRUE,TRUE,2000,134,Drama,Z:\Databases\DVD_1\Images\5608652008600.15F.JPG
A Casa da Lagoa,The Lake House,TRUE,TRUE,2006,115,Fantasia,Z:\Databases\DVD_1\Images\7321976736728.15F.JPG
A Casa da Russia,The Russia House,TRUE,TRUE,1990,118,Drama,Z:\Databases\DVD_1\Images\5608652039321.15F.JPG
A Casa dos Espíritos,The House of the Spirits,TRUE,TRUE,1993,146,Drama,Z:\Databases\DVD_1\Images\5608652016940.15F.JPG
A Cela,The Cell,TRUE,TRUE,2000,105,,Z:\Databases\DVD_1\Images\5602193305556.15F.JPG
A Chave,The Skeleton Key,TRUE,TRUE,2005,99,,Z:\Databases\DVD_1\Images\5050582384826.15F.JPG
A Cidade do Passado,City by the Sea,TRUE,TRUE,2002,109,,Z:\Databases\DVD_1\Images\5601887450077.15F.JPG
A Cidade dos Anjos,City of Angels,TRUE,TRUE,1998,110,,Z:\Databases\DVD_1\Images\5606376506181.15F.JPG
A Conspiração da Aranha,Along Came a Spider,TRUE,TRUE,2001,99,Suspense/Thriller,Z:\Databases\DVD_1\Images\5601887427437.15F.JPG
A Dama de Ferro,,TRUE,TRUE,2011,104,Drama,Z:\Databases\DVD_1\Images\5602193358385.15F.JPG
A Dama e o Vagabundo,Lady and the Tramp,TRUE,FALSE,1955,74,Animação,Z:\Databases\DVD_1\Images\5601887480302.15F.JPG
A Dama e o Vagabundo II: As Aventuras de Banzé,Lady and the Tramp II: Scamp's Adventure,TRUE,TRUE,2001,66,Animação,Z:\Databases\DVD_1\Images\5601887417117.15F.JPG
A Desaparecida,The Vanishing,TRUE,TRUE,1993,105,Drama,Z:\Databases\DVD_1\Images\5600304166164.15F.JPG
A Domadora de Baleias,Whale Rider,TRUE,TRUE,2002,98,,Z:\Databases\DVD_1\Images\5606118002100.15F.JPG
A duquesa,The Duchess,TRUE,TRUE,2008,110,Drama,Z:\Databases\DVD_1\Images\5601887535842.15F.JPG
À Dúzia é Mais Barato,Cheaper by the Dozen,TRUE,TRUE,2003,95,Comédia,Z:\Databases\DVD_1\Images\5608652022057.15F.JPG
