2012;0;TRUE;TRUE;2009;151;Ficção Científica;Images\8414533066310.15F.jpg
{Proof} Entre o génio e a loucura;Proof;FALSE;TRUE;2005;96;Drama;Images\5600304167758.15F.jpg
007 Contra Goldfinger;Goldfinger;TRUE;TRUE;1964;110;Acção;Images\IFB1D734B8918010C.15F.jpg
007 Risco Imediato;The Living Daylights;TRUE;TRUE;1987;125;Acção;Images\I85011E9AB638EC9E.15F.jpg
15 Minutos;15 Minutes;TRUE;TRUE;2001;116;Suspense/Thriller;Images\5601887429653.15F.jpg
21 Gramas;21 Grams;FALSE;TRUE;2003;119;Drama;Images\5608652023399.15F.jpg
24 Horas para Matar;The Watcher;FALSE;TRUE;2002;97;Suspense/Thriller;Images\5601887428267.15F.jpg
8MM;0;TRUE;TRUE;1999;119;Suspense/Thriller;Images\5601887404667.15F.jpg
A Armadilha;Entrapment;TRUE;TRUE;1999;108;Acção;Images\5600304163491.15F.jpg
À beira do casamento;The Groomsmen;TRUE;TRUE;2006;98;Comédia;Images\5601887493906.15F.jpg
A Bela Adormecida;Sleeping Beauty;TRUE;TRUE;1959;72;0;Images\5601887430147.15F.jpg
A Bela e o Monstro;Beauty and the Beast;TRUE;TRUE;1991;87;0;Images\5601887437238.15F.jpg
A Borboleta Azul;The Blue Butterfly;FALSE;TRUE;2004;93;0;Images\5608652022620.15F.jpg
A Canção de Lisboa;0;TRUE;TRUE;1933;91;Comédia;Images\5601684043212.15F.jpg
A Casa da Felicidade;The House of Mirth;TRUE;TRUE;2000;134;Drama;Images\5608652008600.15F.jpg
A Casa da Lagoa;The Lake House;TRUE;TRUE;2006;115;Fantasia;Images\7321976736728.15F.jpg
A Casa da Russia;The Russia House;TRUE;TRUE;1990;118;Drama;Images\5608652039321.15F.jpg
A Casa dos Espíritos;The House of the Spirits;TRUE;TRUE;1993;146;Drama;Images\5608652016940.15F.jpg
A Cela;The Cell;TRUE;TRUE;2000;105;0;Images\5602193305556.15F.jpg
A Chave;The Skeleton Key;TRUE;TRUE;2005;99;0;Images\5050582384826.15F.jpg
A Cidade do Passado;City by the Sea;TRUE;TRUE;2002;109;0;Images\5601887450077.15F.jpg
A Cidade dos Anjos;City of Angels;TRUE;TRUE;1998;110;0;Images\5606376506181.15F.jpg
A Conspiração da Aranha;Along Came a Spider;TRUE;TRUE;2001;99;Suspense/Thriller;Images\5601887427437.15F.jpg
A Dama de Ferro;0;TRUE;TRUE;2011;104;Drama;Images\5602193358385.15F.jpg
A Dama e o Vagabundo;Lady and the Tramp;TRUE;FALSE;1955;74;Animação;Images\5601887480302.15F.jpg
A Dama e o Vagabundo II: As Aventuras de Banzé;Lady and the Tramp II: Scamp's Adventure;TRUE;TRUE;2001;66;Animação;Images\5601887417117.15F.jpg
A Desaparecida;The Vanishing;TRUE;TRUE;1993;105;Drama;Images\5600304166164.15F.jpg
A Domadora de Baleias;Whale Rider;TRUE;TRUE;2002;98;0;Images\5606118002100.15F.jpg
A duquesa;The Duchess;TRUE;TRUE;2008;110;Drama;Images\5601887535842.15F.jpg
À Dúzia é Mais Barato;Cheaper by the Dozen;TRUE;TRUE;2003;95;Comédia;Images\5608652022057.15F.jpg
A Educação de Charlie Banks;0;FALSE;TRUE;2007;101;Drama;Images\013131580990F.jpg
A Espada Era a Lei;The Sword in the Stone;TRUE;TRUE;1963;76;0;Images\5601887435272.15F.jpg
À Espera de um Milagre;The Green Mile;FALSE;TRUE;1999;181;0;Images\5601887409877.15F.jpg
A Estação;The Station Agent;TRUE;TRUE;2003;86;0;Images\5608652023436.15F.jpg
A Estranha em Mim;The Brave One;TRUE;TRUE;2007;119;Acção;Images\5600304192583.15F.jpg
A Face Oculta de MR. Brooks;Mr. Brooks;TRUE;TRUE;2007;115;0;Images\5602193339360.15F.jpg
A Feira das Vaidades;Vanity Fair;TRUE;TRUE;2004;139;Comédia;Images\5608652026789.15F.jpg
A Festa;The Party;TRUE;TRUE;1968;100;Comédia;Images\5608652018388.15F.jpg
A Filha do Patrão;0;TRUE;TRUE;2003;82;Comédia;Images\5608652024280.15F.jpg
A Firma;The Firm;TRUE;TRUE;1993;148;Drama;Images\5601887413935.15F.jpg
A Flor do Mal;White Oleander;TRUE;TRUE;2002;109;0;Images\5050582222906.15F.jpg
A Fuga das Galinhas;Chicken Run;TRUE;TRUE;2000;81;Animação;Images\0667068827323.15F.jpg
A Fúria Do Último Escuteiro;The Last Boy Scout;TRUE;TRUE;1991;96;0;Images\5606376267518.15F.jpg
A Glória dos Campeões;Blades of Glory;TRUE;TRUE;2007;89;Comédia;Images\5601887497058.15F.jpg
A Grande Aventura dos Gnomos;The Gnomes Great Adventure;TRUE;TRUE;1995;75;0;Images\5608652016667.15F.jpg
A Guerra a Cores: A Segunda Guerra Mundial: Hitler;0;TRUE;TRUE;2004;71;0;Images\5604779059280.15F.jpg
A Guerra das Rosas;The War of the Roses;TRUE;TRUE;1989;116;Comédia;Images\5600304166225.15F.jpg
A Herança que veio do Frio;Kevin of the North;TRUE;TRUE;2001;98;0;Images\5608652008952.15F.jpg
A História de uma Abelha;Bee Movie;FALSE;TRUE;2007;87;0;Images\5601887521494.15F.jpg
A Idade das Sombras;The Age of Shadows;TRUE;TRUE;2016;140;Acção;Images\5600351704258.15F.jpg
A Idade do Gelo;Ice Age;TRUE;TRUE;2002;78;Animação;Images\5600304162470.15F.jpg
A Idade do Gelo 2 - Descongelados;Ice Age: The Meltdown;TRUE;TRUE;2006;87;Animação;Images\5600304169936.15F.jpg
A Idade do Gelo 3 - Despertar dos dinossauros;Ice Age 3: Dawn of the Dinosaurs;TRUE;TRUE;2009;90;Animação;Images\5600304210386.15F.jpg
A idade do gelo 4: Deriva continental;Ice Age 4: Continental Drift;TRUE;FALSE;2012;88;Animação;Images\5602193504652.15F.jpg
A Ilha;The Island;TRUE;TRUE;2005;130;Acção;Images\7321976717307.15F.jpg
A Ilha do Tesouro;0;TRUE;TRUE;1950;94;0;Images\5601887447695.15F.jpg
A Importância de ser Ernesto;The Importance of Being Earnest;TRUE;TRUE;2002;89;Comédia;Images\5608652016568.15F.jpg
A Intérprete;The Interpreter;TRUE;TRUE;2005;123;Drama;Images\5050582346718.15F.jpg
